FOREX — Majors (7)
ID	Base	Vol	Spread	Payout
EURUSD	1.1620	0.50	0.00002	82
GBPUSD	1.3530	0.55	0.00002	80
USDJPY	156.20	0.50	0.002	84
AUDUSD	0.7200	0.55	0.00002	80
USDCAD	1.3840	0.50	0.00002	80
USDCHF	0.8100	0.50	0.00002	80
NZDUSD	~0.5900	0.60	0.00002	78
FOREX — USD exotics (28)
ID	Base	Vol	Spread	Payout
USDMXN	~18.50	0.80	0.0003	80
USDZAR	~17.60	0.85	0.0003	80
USDTRY	~45.00	1.00	0.0007	78
USDBRL	~5.50	0.85	0.00008	78
USDSGD	~1.34	0.55	0.00002	78
USDHKD	~7.81	0.20	0.0001	78
USDNOK	~10.20	0.70	0.00015	78
USDSEK	~9.50	0.70	0.00015	78
USDDKK	~6.42	0.30	0.0001	78
USDPLN	~3.60	0.75	0.00005	78
USDCZK	~21.50	0.75	0.0003	78
USDHUF	~310	0.80	0.005	78
USDILS	~3.30	0.80	0.00005	78
USDPHP	~58.00	0.80	0.001	76
USDTHB	~32.50	0.80	0.0005	76
USDMYR	~4.20	0.75	0.00005	76
USDIDR	~16500	0.85	0.25	76
USDKRW	~1400	0.85	0.02	76
USDCNY	~7.10	0.60	0.0001	76
USDTWD	~30.50	0.80	0.0005	76
USDAED	~3.6725	0.20	0.00005	76
USDSAR	~3.75	0.20	0.00005	76
USDQAR	~3.64	0.20	0.00005	76
USDKWD	~0.308	0.60	0.000005	76
USDEGP	~48.00	1.00	0.0007	75
USDNGN	~1550	1.20	0.02	75
USDPKR	~282	1.00	0.004	75
USDLKR	~302	1.00	0.005	75
USDVND	~26200	0.90	0.40	75
FOREX — EUR crosses (17)
ID	Base	Vol	Spread	Payout
EURGBP	0.8580	0.45	0.00002	78
EURJPY	181.50	0.55	0.003	80
EURCHF	0.9405	0.45	0.00001	78
EURCAD	1.6040	0.55	0.00002	78
EURAUD	1.6130	0.60	0.00002	78
EURNZD	~1.97	0.65	0.00003	78
EURSEK	~10.70	0.65	0.0002	78
EURNOK	~11.50	0.65	0.0002	78
EURDKK	~7.46	0.30	0.0001	78
EURPLN	4.33	0.70	0.00006	78
EURCZK	~25.00	0.70	0.0004	78
EURHUF	~360	0.75	0.005	78
EURMXN	~21.50	0.75	0.0003	78
EURZAR	~20.30	0.80	0.0003	78
EURTRY	~52.00	0.95	0.0008	76
EURBRL	~6.40	0.80	0.0001	76
EURSGD	~1.56	0.55	0.00002	78
FOREX — GBP/AUD/CAD/CHF/NZD crosses (14)
ID	Base	Vol	Spread	Payout
GBPJPY	212.00	0.65	0.003	82
GBPCHF	~1.10	0.60	0.00002	78
GBPCAD	1.8670	0.60	0.00003	78
GBPAUD	1.8780	0.60	0.00003	78
GBPNZD	~2.29	0.65	0.00003	78
GBPSEK	~12.90	0.70	0.0002	78
GBPNOK	~13.80	0.70	0.0002	78
AUDJPY	~112.30	0.60	0.002	80
AUDCAD	~1.00	0.55	0.00002	78
AUDCHF	~0.58	0.55	0.00001	78
AUDNZD	~1.22	0.60	0.00002	78
CADJPY	~112.70	0.60	0.002	80
CHFJPY	~192.60	0.60	0.003	80
